Problem,,,Constructive algorithm,,,Local search,,GRASP,,Known best solution or upper bound
Name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1,No. of iterations,Average value,No. of iterations,Best value,
g1,800,19176,9575.1,10967,11127,3,11332,50,11371,11371
g2,800,19176,9594.54,11036,11150,3,11381.66667,50,11375,11381.66667
g3,800,19176,9589.14,11018,11124,3,11285.66667,50,11395,11395
g4,800,19176,9592.8,11050,11114,3,11316,50,11408,11408
g5,800,19176,9579.25,11056,11175,3,11295.33333,50,11358,11358
g6,800,19176,79.68,1488,1627,3,1813.333333,50,1838,1838
g7,800,19176,-64.1,1422,1413,3,1668,50,1738,1738
g8,800,19176,-80.82,1320,1470,3,1558.333333,50,1706,1706
g9,800,19176,-40,1428,1452,3,1745,50,1779,1779
g10,800,19176,-79.04,1275,1415,3,1667,50,1699,1699
g11,800,1600,16.92,432,422,3,445.3333333,50,476,476
g12,800,1600,-6,418,420,3,438.6666667,50,466,466
g13,800,1600,15.32,418,418,3,471.3333333,50,482,482
g14,800,4694,2350.72,2901,2931,3,2950.666667,50,2982,2982
g15,800,4661,2335.6,2876,2909,3,2951.666667,50,2969,2969
g16,800,4672,2328.16,2896,2933,3,2950.333333,50,2976,2976
g17,800,4667,2332.16,2887,2909,3,2954.666667,50,2972,2972
g18,800,4694,32.78,807,795,3,834,50,855,855
g19,800,4661,-56.24,743,647,3,779.6666667,50,789,789
g20,800,4672,-18.02,728,666,3,746.6666667,50,811,811
g21,800,4667,-21.26,701,624,3,788.6666667,50,786,788.6666667
g22,2000,19990,9980.18,12402,12703,3,12650.66667,50,12861,12861
g23,2000,19990,9989.92,12300,12719,3,12890.33333,50,12890,12890.33333
g24,2000,19990,9991.4,12361,12648,3,12756.66667,50,12886,12886
g25,2000,19990,9993.28,12393,12699,3,12774.33333,50,12923,12923
g26,2000,19990,10006.04,12327,12700,3,12700.66667,50,12867,12867
g27,2000,19990,-26.2,2322,2402,3,2618.333333,50,2663,2663
g28,2000,19990,-47.34,2294,2328,3,2526.333333,50,2623,2623
g29,2000,19990,16.78,2369,2523,3,2710.666667,50,2691,2710.666667
g30,2000,19990,42.72,2412,2490,3,2568.666667,50,2712,2712
g31,2000,19990,-38.9,2334,2318,3,2680.666667,50,2663,2680.666667
g32,2000,4000,9.32,1026,1102,3,1202.666667,50,1152,1202.666667
g33,2000,4000,-18.8,1008,1058,3,1198.666667,50,1126,1198.666667
g34,2000,4000,-25.16,980,1008,3,1129.333333,50,1128,1129.333333
g35,2000,11778,5886.44,7284,7370,3,7394.333333,50,7458,7458
g36,2000,11766,5879.72,7222,7350,3,7391.333333,50,7449,7449
g37,2000,11785,5904.8,7254,7386,3,7408.666667,50,7474,7474
g38,2000,11779,5897.92,7231,7368,3,7439,50,7495,7495
g39,2000,11778,16.4,1938,1717,3,1965,50,1920,1965
g40,2000,11766,-46.4,1896,1764,3,1950.666667,50,1957,1957
g41,2000,11785,-18.06,1876,1769,3,1853,50,1934,1934
g42,2000,11779,70.4,1967,1784,3,1986,50,2025,2025
g43,1000,9990,5004.86,6172,6289,3,6360.666667,50,6475,6475
g44,1000,9990,4987.24,6168,6317,3,6405,50,6456,6456
g45,1000,9990,4988.22,6200,6303,3,6410,50,6453,6453
g46,1000,9990,4999.38,6186,6287,3,6382,50,6470,6470
g47,1000,9990,4999.6,6231,6282,3,6362.333333,50,6471,6471
g48,3000,6000,3002.48,6000,6000,3,6000,50,6000,6000
g49,3000,6000,3002.48,6000,6000,3,6000,50,6000,6000
g50,3000,6000,3009.52,5878,5856,3,5851.333333,50,5866,5878
g51,1000,5909,2960.94,3623,3676,3,3711.333333,50,3752,3752
g52,1000,5916,2960.34,3632,3683,3,3737.666667,50,3751,3751
g53,1000,5914,2962.14,3651,3695,3,3735,50,3746,3746
g54,1000,5916,2956.24,3633,3682,3,3720.666667,50,3745,3745
